Ticker.Symbol,Security,SEC.filings,GICS.Sector,GICS.Sub.Industry,City,State,Country,Date.first.added,CIK,Financials.,marketcap
ROST,Ross Stores,reports,Consumer Discretionary,Apparel Retail,Pleasanton, California,United States,12/21/2009,745732,1,182164634.4
RRC,Range Resources Corp.,reports,Energy,Oil & Gas Exploration & Production,Fort Worth, Texas,United States,12/21/2007,315852,1,101609395
RSG,Republic Services Inc,reports,Industrials,Industrial Conglomerates,Phoenix, Arizona,United States,12/5/2008,1060391,1,39535649.31
RTN,Raytheon Co.,reports,Industrials,Aerospace & Defense,Waltham, Massachusetts,United States,,1047122,0,156555000
SBUX,Starbucks Corp.,reports,Consumer Discretionary,Restaurants,Seattle, Washington,United States,,829224,1,463286640
SCG,SCANA Corp,reports,Utilities,MultiUtilities,Cayce, South Carolina,United States,1/2/2009,754737,1,38853055.47
SCHW,Charles Schwab Corporation,reports,Financials,Investment Banking & Brokerage,San Francisco, California,United States,,316709,1,184806438.7
SE,Spectra Energy Corp.,reports,Energy,Oil & Gas Refining & Marketing & Transportation,Houston, Texas,United States,,1373835,1,89083120
SEE,Sealed Air,reports,Materials,Paper Packaging,Elmwood Park, New Jersey,United States,,1012100,1,59399934
SHW,Sherwin-Williams,reports,Materials,Specialty Chemicals,Cleveland, Ohio,United States,6/30/1964,89800,1,156191682.2
SIG,Signet Jewelers,reports,Consumer Discretionary,Specialty Stores,Hamilton,NA,Bermuda,7/29/2015,832988,1,92327671.96
SJM,JM Smucker,reports,Consumer Staples,Packaged Foods & Meats,Orrville, Ohio,United States,11/6/2008,91419,1,75119994.83
SLB,Schlumberger Ltd.,reports,Energy,Oil & Gas Equipment & Services,Curacao,NA,Netherlands,3/31/1965,87347,0,348367302.6
SLG,SL Green Realty,reports,Real Estate,Office REITs,New York, New York,United States,3/20/2015,1040971,1,88212512.46
SNA,Snap-On Inc.,reports,Consumer Discretionary,Household Appliances,Kenosha, Wisconsin,United States,9/30/1982,91440,1,33346269.78
SNI,Scripps Networks Interactive Inc.,reports,Consumer Discretionary,Broadcasting & Cable TV,Cincinnati, Ohio,United States,7/1/2008,1430602,1,48381725.03
SO,Southern Co.,reports,Utilities,Electric Utilities,Atlanta, Georgia,United States,,92122,1,171392713.5
SPG,Simon Property Group Inc,reports,Real Estate,REITs,Indianapolis, Indiana,United States,,1063761,1,405993712.4
SPGI,"S&P Global, Inc.",reports,Financials,Diversified Financial Services,New York, New York,United States,,64040,1,106055949
SPLS,Staples Inc.,reports,Consumer Discretionary,Specialty Stores,Framingham, Massachusetts,United States,,791519,1,45667205
SRCL,Stericycle Inc,reports,Industrials,Industrial Conglomerates,Lake Forest, Illinois,United States,11/19/2008,861878,1,54182232.7
SRE,Sempra Energy,reports,Utilities,MultiUtilities,San Diego, California,United States,,1032208,1,94581471.06
STI,SunTrust Banks,reports,Financials,Banks,Atlanta, Georgia,United States,5/31/1988,750556,1,131025675.2
STT,State Street Corp.,reports,Financials,Diversified Financial Services,Boston, Massachusetts,United States,,93751,1,99434969.28
STX,Seagate Technology,reports,Information Technology,Computer Storage & Peripherals,Dublin,NA,Ireland,7/2/2012,1137789,1,110597569.2
STZ,Constellation Brands,reports,Consumer Staples,Distillers & Vintners,Victor, New York,United States,,16918,0,175570609.7
SWK,Stanley Black & Decker,reports,Consumer Discretionary,Household Appliances,New Britain, Connecticut,United States,9/30/1982,93556,1,68160268.19
SWKS,Skyworks Solutions,reports,Information Technology,Semiconductors,Woburn, Massachusetts,United States,3/12/2015,4127,1,137702911.4
SWN,Southwestern Energy,reports,Energy,Oil & Gas Exploration & Production,Houston, Texas,United States,6/6/2008,7332,1,80389354
SYF,Synchrony Financial,reports,Financials,Consumer Finance,Stamford, Connecticut,United States,11/18/2015,1601712,1,125225802
SYK,Stryker Corp.,reports,Health Care,Health Care Equipment,Kalamazoo, Michigan,United States,,310764,1,118384259
SYMC,Symantec Corp.,reports,Information Technology,Application Software,Mountain View, California,United States,3/25/2003,849399,1,89496714.25
SYY,Sysco Corp.,reports,Consumer Staples,Food Distributors,Houston, Texas,United States,12/31/1986,96021,1,128375342.7
T,AT&T Inc,reports,Telecommunications Services,Integrated Telecommunications Services,Dallas, Texas,United States,11/30/1983,732717,1,709145203.3
TDC,Teradata Corp.,reports,Information Technology,Application Software,Miamisburg, Ohio,United States,10/1/2007,816761,1,33016984
TDG,TransDigm Group,reports,Industrials,Aerospace & Defense,Cleveland, Ohio,United States,6/3/2016,1260221,1,62090625.75
TEL,TE Connectivity Ltd.,reports,Information Technology,Electronic Manufacturing Services,Schaffhausen,NA,Switzerland,10/17/2011,1385157,1,79381022.85
